Billable_Transaction,Billable__Project_,Forecast_Hours,Total_Forecasted_Hours,Estimated_Budget,XMLNAME__Worker__for_Billable_Transactions,Billable_Hours,Hours_To_Bill,Billable_Rate,Rate_To_Bill,Billable_Amount,Amount_To_Bill,XMLNAME__Project_Plan_Task__is_Billable,XMLNAME__Worker__Fully_Burdened_Cost_Rate,Customer_Contract_Line,Extended_Amount
Expense Report: EXP-00004468 - Meals,PredictaPlan,1,512,45000,Carol Li,0,0,0,0,9000,9000,0,250,,
Expense Report: EXP-00004469 - Airfare,PredictaPlan,1.6,512,45000,Floyd Moon,0,0,0,0,800,800,0,60,,
Expense Report: EXP-00004470 - Airfare,PredictaPlan,1,512,45000,Carol Li,0,0,0,0,2200,2200,0,250,,
Expense Report: EXP-00004471 - Airfare,PredictaPlan,2.8,512,45000,Peter Sam,0,0,0,0,1100,1100,0,40,,
2.8 Hours on 07/31/2023,PredictaPlan,2.8,512,45000,Peter Sam,2.8,2.8,100,50,280,140,1,40,4106 Fines and Penalties (Line 2),475000
3.1 Hours on 08/01/2023,PredictaPlan,2.8,512,45000,Peter Sam,3.1,3.1,100,50,310,155,1,40,4106 Fines and Penalties (Line 2),475000
3.3 Hours on 08/02/2023,PredictaPlan,2.8,512,45000,Peter Sam,3.3,3.3,100,50,330,165,1,40,4106 Fines and Penalties (Line 2),475000
4 Hours on 08/03/2023,PredictaPlan,2.8,512,45000,Peter Sam,4,4,100,50,400,200,1,40,4106 Fines and Penalties (Line 2),475000
3 Hours on 08/04/2023,PredictaPlan,2.8,512,45000,Peter Sam,3,3,100,50,300,150,1,40,4106 Fines and Penalties (Line 2),475000
2.9 Hours on 08/07/2023,PredictaPlan,3.6,512,45000,Peter Sam,2.9,2.9,100,50,290,145,1,40,4106 Fines and Penalties (Line 2),475000
3.2 Hours on 08/08/2023,PredictaPlan,3.6,512,45000,Peter Sam,3.2,3.2,100,50,320,160,1,40,4106 Fines and Penalties (Line 2),475000
4 Hours on 08/09/2023,PredictaPlan,3.6,512,45000,Peter Sam,4,4,100,50,400,200,1,40,4106 Fines and Penalties (Line 2),475000
3.8 Hours on 08/10/2023,PredictaPlan,3.6,512,45000,Peter Sam,3.8,3.8,100,50,380,190,1,40,4106 Fines and Penalties (Line 2),475000
3.8 Hours on 08/11/2023,PredictaPlan,3.6,512,45000,Peter Sam,3.8,3.8,100,50,380,190,1,40,4106 Fines and Penalties (Line 2),475000
3 Hours on 08/14/2023,PredictaPlan,4,512,45000,Peter Sam,3,3,100,50,300,150,1,40,4106 Fines and Penalties (Line 2),475000
3.5 Hours on 08/15/2023,PredictaPlan,4,512,45000,Peter Sam,3.5,3.5,100,50,350,175,1,40,4106 Fines and Penalties (Line 2),475000
3 Hours on 08/16/2023,PredictaPlan,4,512,45000,Peter Sam,3,3,100,50,300,150,1,40,4106 Fines and Penalties (Line 2),475000
4.5 Hours on 08/17/2023,PredictaPlan,4,512,45000,Peter Sam,4.5,4.5,100,50,450,225,1,40,4106 Fines and Penalties (Line 2),475000
3.9 Hours on 08/18/2023,PredictaPlan,4,512,45000,Peter Sam,3.9,3.9,100,50,390,195,1,40,4106 Fines and Penalties (Line 2),475000
3.3 Hours on 08/21/2023,PredictaPlan,4.8,512,45000,Peter Sam,3.3,3.3,100,50,330,165,1,40,4106 Fines and Penalties (Line 2),475000
2.8 Hours on 08/22/2023,PredictaPlan,4.8,512,45000,Peter Sam,2.8,2.8,100,50,280,140,1,40,4106 Fines and Penalties (Line 2),475000
2.4 Hours on 08/23/2023,PredictaPlan,4.8,512,45000,Peter Sam,2.4,2.4,100,50,240,120,1,40,4106 Fines and Penalties (Line 2),475000
