Billable Transaction,Billable ~Project~,Forecast Hours,Total Forecasted Hours,~Worker~ for Billable Transactions,Billable Hours,Hours To Bill,Billable Rate,Rate To Bill,Billable Amount,Amount To Bill,~Project Plan Task~ is Billable,~Worker~ Fully Burdened Cost Rate,Estimated Budget,Customer Contract Line,Extended Amount
Expense Report: EXP-00004468 - Meals,PredictaPlan,1,512,Carol Li,0,0,0.00,0.00,"9,000.00","9,000.00",,250,"22,500.00",,0
Expense Report: EXP-00004469 - Airfare,PredictaPlan,1.6,512,Floyd Moon,0,0,0.00,0.00,800.00,800.00,,60,"22,500.00",,0
Expense Report: EXP-00004470 - Airfare,PredictaPlan,1,512,Carol Li,0,0,0.00,0.00,"2,200.00","2,200.00",,250,"22,500.00",,0
Expense Report: EXP-00004471 - Airfare,PredictaPlan,2.8,512,Peter Sam,0,0,0.00,0.00,"1,100.00","1,100.00",,40,"22,500.00",,0
2.8 Hours on 07/31/2023,PredictaPlan,2.8,512,Peter Sam,2.8,2.8,100.00,50.00,280.00,140.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
3.1 Hours on 08/01/2023,PredictaPlan,2.8,512,Peter Sam,3.1,3.1,100.00,50.00,310.00,155.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
3.3 Hours on 08/02/2023,PredictaPlan,2.8,512,Peter Sam,3.3,3.3,100.00,50.00,330.00,165.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
4 Hours on 08/03/2023,PredictaPlan,2.8,512,Peter Sam,4,4,100.00,50.00,400.00,200.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
3 Hours on 08/04/2023,PredictaPlan,2.8,512,Peter Sam,3,3,100.00,50.00,300.00,150.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
2.9 Hours on 08/07/2023,PredictaPlan,3.6,512,Peter Sam,2.9,2.9,100.00,50.00,290.00,145.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
3.2 Hours on 08/08/2023,PredictaPlan,3.6,512,Peter Sam,3.2,3.2,100.00,50.00,320.00,160.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
4 Hours on 08/09/2023,PredictaPlan,3.6,512,Peter Sam,4,4,100.00,50.00,400.00,200.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
3.8 Hours on 08/10/2023,PredictaPlan,3.6,512,Peter Sam,3.8,3.8,100.00,50.00,380.00,190.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
3.8 Hours on 08/11/2023,PredictaPlan,3.6,512,Peter Sam,3.8,3.8,100.00,50.00,380.00,190.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
3 Hours on 08/14/2023,PredictaPlan,4,512,Peter Sam,3,3,100.00,50.00,300.00,150.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
3.5 Hours on 08/15/2023,PredictaPlan,4,512,Peter Sam,3.5,3.5,100.00,50.00,350.00,175.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
3 Hours on 08/16/2023,PredictaPlan,4,512,Peter Sam,3,3,100.00,50.00,300.00,150.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
4.5 Hours on 08/17/2023,PredictaPlan,4,512,Peter Sam,4.5,4.5,100.00,50.00,450.00,225.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
3.9 Hours on 08/18/2023,PredictaPlan,4,512,Peter Sam,3.9,3.9,100.00,50.00,390.00,195.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
3.3 Hours on 08/21/2023,PredictaPlan,4.8,512,Peter Sam,3.3,3.3,100.00,50.00,330.00,165.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
2.8 Hours on 08/22/2023,PredictaPlan,4.8,512,Peter Sam,2.8,2.8,100.00,50.00,280.00,140.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
